Id;Fold;Type;Band;TruePositiveScore;FalseNegativeScore;TrueNegativeScore;FalsePositiveScore;IoUScore;Min;Max
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_0;3;diff;nir;930,8030564263463;1177,1969416737556;143057,54228526354;116978,4576807078;0,007816195683113245;-0,09160000085830688;0,1242000013589859
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_0;3;diff;veg_red_4;930,8030564263463;1177,1969416737556;143057,54228526354;116978,4576807078;0,007816195683113245;-0,09160000085830688;0,1242000013589859
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_0;3;diff;water_vapour;930,8030564263463;1177,1969416737556;143057,54228526354;116978,4576807078;0,007816195683113245;-0,09160000085830688;0,1242000013589859
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_0;3;diff;swir_1;930,8030564263463;1177,1969416737556;143057,54228526354;116978,4576807078;0,007816195683113245;-0,09160000085830688;0,1242000013589859
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_0;3;diff;swir_2;930,8030564263463;1177,1969416737556;143057,54228526354;116978,4576807078;0,007816195683113245;-0,09160000085830688;0,1242000013589859
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;coastal_aerosol;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;blue;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;green;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;red;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;veg_red_1;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;veg_red_2;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;veg_red_3;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;nir;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;veg_red_4;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;water_vapour;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;swir_1;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
4ee04e32-1dcd-416a-8e2d-fc04fe9ad3f3_1;3;diff;swir_2;227,05885019898415;185,9411497116089;116245,0764747262;145485,92352253944;0,0015562750205216265;-0,24149999022483826;0,2019999921321869
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;coastal_aerosol;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;blue;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;green;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;red;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;veg_red_1;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;veg_red_2;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;veg_red_3;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;nir;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;veg_red_4;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;water_vapour;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;swir_1;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
51b2fa4f-dfa2-49d1-b616-6d74c740fc44_0;4;diff;swir_2;97,7660059928894;74,2339940071106;112249,85992377996;149722,14007820934;0,0006522336759921277;-0,36550000309944153;0,24519997835159302
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;coastal_aerosol;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;blue;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;green;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;red;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;veg_red_1;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;veg_red_2;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;veg_red_3;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;nir;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;veg_red_4;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;water_vapour;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;swir_1;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
52dce185-840f-44c4-ad02-a894b66ba6ab_0;4;diff;swir_2;8476,778747454286;12798,22121167183;145016,4230645299;95852,57634527981;0,07237218608044756;-0,14099998772144318;0,2094999998807907
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;coastal_aerosol;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;blue;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;green;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;red;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;veg_red_1;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;veg_red_2;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;veg_red_3;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;nir;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;veg_red_4;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;water_vapour;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;swir_1;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
5340ea26-de6c-4cff-b880-66de3e75497e_0;1;diff;swir_2;220,7574244439602;178,2425754070282;117406,46503859758;144338,53495949414;0,0015252258130965687;-0,1371999979019165;0,11470001935958862
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;coastal_aerosol;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;blue;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;green;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;red;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;veg_red_1;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;veg_red_2;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;veg_red_3;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;nir;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;veg_red_4;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;water_vapour;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;swir_1;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
56eb7f42-1a35-4418-ab51-22c5fa3fad2d_0;3;diff;swir_2;190,85889288783073;279,14110630750656;154331,79287660122;107342,20711357892;0,0017702901925399559;-0,15700000524520874;0,2603999972343445
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;coastal_aerosol;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;blue;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;green;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;red;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;veg_red_1;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;veg_red_2;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;veg_red_3;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;nir;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;veg_red_4;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;water_vapour;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;swir_1;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
58adb8e0-7089-4583-9571-a3967cff4e2f_0;3;diff;swir_2;1439,7412992715836;493,25870060920715;61577,458699047565;198633,54129328672;0,0071783722748009005;-1,0369999408721924;0,2554999887943268
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;coastal_aerosol;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;blue;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;green;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;red;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;veg_red_1;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;veg_red_2;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;veg_red_3;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;nir;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;veg_red_4;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;water_vapour;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;swir_1;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5ba5df5d-58c9-4523-a3f8-42e6fe24d476_0;2;diff;swir_2;244,19776014983654;255,80223977565765;131897,70911359787;129746,29083069041;0,0018748922414029698;-0,07269999384880066;0,07849998772144318
5defb074-bacc-495c-9b09-ba664e9f782a_0;2;diff;coastal_aerosol;115,3039715141058;311,6960279941559;197614,60617882013;64102,39384661545;0,0017868441750601089;-0,4812999665737152;1,5603001117706299
5defb074-bacc-495c-9b09-ba664e9f782a_0;2;diff;blue;115,3039715141058;311,6960279941559;197614,60617882013;64102,39384661545;0,0017868441750601089;-0,4812999665737152;1,5603001117706299
5defb074-bacc-495c-9b09-ba664e9f782a_0;2;diff;green;115,3039715141058;311,6960279941559;197614,60617882013;64102,39384661545;0,0017868441750601089;-0,4812999665737152;1,5603001117706299
